Job Title,Job Ratings,time,JobStatus,Pros,Cons
Anonymous employee,4.0,"May 28, 2025",Current employee,"Comprehensive Medical Cover
Pension
Loan facilities at a competitive rate","Some targets set are not smart
Loan options not flexible"
Business development executive manager,4.0,"Feb 27, 2024",Current employee,"Good salary, salary increment every year.
Different types of loans available to staff.",Long working hours with only few days of leave
Operations manager,4.0,"Mar 5, 2024",Current employee,Offers a challenging working environment for those in operations,Slow growth and too engaging
Anonymous employee,3.0,"Feb 1, 2017","Current employee, more than 10 years",They have good loan facilities for their staff.  Benefits such as  and leave allowance are reasonable.,"Top management get most of the perks e.g their bonuses are not based on performance but on the Relation you have with the MD,  Targets set for lower staff are shifted just before the year ends thus destabilizing your end-year performance appraisal, Target given are not smart and very unrealistic etc"
Support,3.0,"Jul 9, 2017",Former employee,"Good pay,  on the job training , exposure to a variety of systems, leave days","workload, low upward career  mobility, can hit the ceiling in pay raise after a reaching a certain level"
Legal officer,3.0,"Jan 16, 2021","Current employee, more than 1 year","Broad commercial legal experience
Good benefits like insurance and bonuses","Fixed culture mindset, government like"
Underwriter,2.0,"Aug 10, 2025","Former employee, more than 5 years",Feels like family in a lot of ways,Very challenging to grow at the company
Project manager,3.0,"Aug 7, 2025","Current employee, more than 3 years","- Excellent credit facilities for staff
- Numerous internal opportunities for lateral growth","- Rigid in terms of adoption of solutions
- Challenging organizational culture"
Small business banker,4.0,"Jul 24, 2025","Former employee, more than 8 years",Offer good salary packages for borth entry grades and expert grades,Bonuses are not commensurate to companies earnings
Business analyst/business development,5.0,"Jun 6, 2025","Former employee, more than 10 years","1. Open door policies, great management and work-life balance: (depending on the department), 
2.Great HR support including staff wellness programs, and opportunities for personal growth.
3. Available opportunities for career growth.
4. Benefits such as medical cover, insurance cover, annual bonuses based on performanceand grade, pensionable pay.
5. The greatest CEO.","1. There are variations in management and leadership skills including communication, support and opportunities depending on the department.
2. Annual salary reviews would be slow depending on staff grades."
Atm manager,4.0,"Jul 5, 2025","Former employee, less than 1 year","Good communication among team members 
Efficient handling of tasks
Team building activities",Working under pressure since you are expected to meet your targets.
Business analyst,5.0,"Apr 21, 2025","Current employee, more than 10 years",Very good at training its staff with requisite courses,The upskilling may not come witha salary increment
Relationship banker,5.0,"Apr 8, 2025","Current employee, more than 1 year","Great employer, great learning curve and exposure to the financial  sector.",No cons with the current structure.
Contact center representative,3.0,"Apr 11, 2025","Current employee, more than 8 years","Flexible working hours , medical cover & yearly bonus",Nepotism and favoirism and unfair appraisals
Business banker,4.0,"Mar 10, 2025","Former employee, more than 5 years",good employer with good salary,not seen any cons on employment
Finance manager,4.0,"Feb 20, 2025","Former employee, more than 5 years","Secure, pays well and good package","Internal audit, leave over weekend will take 0.5 days"
Ops manager,5.0,"Feb 11, 2025","Former employee, more than 1 year",Good benefits salary and job security,Clearly defined growth prospects for all levels.
Client service representative,3.0,"Feb 19, 2025",Current employee,The staff are well trained,Huge company not easy to grow
Data analyst,5.0,"Feb 12, 2025","Former employee, more than 3 years",Great organization to work for,Management are like non -touchables
Customer service,5.0,"Jan 7, 2025","Current employee, more than 5 years",Good pay ease and bonuses,Non flexible work Hours .
