Job Title,Job Ratings,time,JobStatus,Pros,Cons
Brand ambassador,5.0,"Aug 8, 2025","Former employee, more than 1 year","Flexible hours, supportive team, good training, fun work environment, opportunity to travel.","Inconsistent hours, limited career growth, commission structure can be unclear, standing for long hours, sometimes slow communication."
Senior mobile developer,4.0,"Jul 28, 2025","Current contractor, more than 1 year",Great for gaining experience on large scale enterprise applications,A lot of shifting priorities
Project manager,4.0,"Jul 15, 2025","Former employee, more than 3 years","Strong support for professional growth through training
Exposure to large-scale, impactful projects across Kenya
Competitive salary and performance-based bonuses","Occasional tight deadlines and high-pressure timelines
Bureaucracy can delay project sign-offs"
Ict technician,5.0,"Jul 18, 2025",Former employee,the working experience was good,there are no major drawbacks i can talk about
Intern,5.0,"Jul 15, 2025","Former intern, less than 1 year",Great work environment. Regular bonuses.,None I can think of
Site reliability engineer,4.0,"Jul 14, 2025","Current contractor, more than 1 year",RTO policy 3 days in the office,Workload may be too much sometime
Software qa engineer,3.0,"Jul 13, 2025","Former contractor, more than 3 years","Opportunities for growth
Good company 
Great work policy","Tough management 
Extreme work conditions (pressure)
Nepotism"
Customer service,4.0,"Jul 8, 2025","Former intern, less than 1 year",Good place to work and grow career-wise,Is place that offers carrier growth
Customer service representative,3.0,"Jul 3, 2025",Current employee,"Job security
Bonus is available","No growth
Compensation for customer care is not worth it"
Ran engineer,4.0,"Jul 6, 2025",Former employee,Conducive work environment for employees growth,Have to meet strict deadlines
Territory development representative (tdr),4.0,"Jun 28, 2025","Current employee, more than 1 year","Salaries paid on time
Familiar route plan","Working via agency
No room for growth"
Telesales agent,5.0,"Jun 26, 2025",Former employee,Good work environment and aesthetics,Corporate work pressure and politics
Customer service representative,4.0,"May 25, 2025","Former contractor, more than 1 year","Safaricom really cares about her employees' well being and this is by have mental awareness, financial plan. They come with mentors and even specialists in different areas to talk to the employees.",How I wish they could intervene in the pay and working conditions for the customer care desk at the dealership shops
Junior software developer,5.0,"Jun 7, 2025",Former employee,Good work-life balance and supportive team environment with competitive benefits,Limited advancement opportunities and outdated technology systems need improvement.
Sr. manager it,5.0,"Jun 5, 2025",Former employee,"As an employer, offers significant advantages such as market leadership, competitive compensation, and ample growth opportunities due to its technological innovation and contributions to national development","High-pressure, competitive, and sometimes bureaucratic environment, which can impact work-life balance."
Software developer,2.0,"Jun 18, 2025","Current contractor, more than 3 years",I really don't have any pros for them. Hasn't been the best.,"no work life balance.
scalling is almost impossible as a contractor."
Ict technician,4.0,"Jun 20, 2025","Current employee, less than 1 year",you Offer the best services,there are No cons about your performance
Intern,5.0,"Jun 5, 2025","Former intern, less than 1 year",They try to help interns and the managers are really great and always helpful.,It requires to put a lot effort and sometimes you work in weekends
Internship,5.0,"Jun 16, 2025",Former intern,Learning and skill building on enterprise level setup,None that I noticed. Good working place.
Senior software engineer,5.0,"Jun 11, 2025",Current contractor,to be updated at a later time,none i can think of right now
Territory development representative (tdr),4.0,"Jun 28, 2025","Current employee, more than 1 year","Salaries paid on time
Familiar route plan","Working via agency
No room for growth"
Telesales agent,5.0,"Jun 26, 2025",Former employee,Good work environment and aesthetics,Corporate work pressure and politics
Customer service representative,4.0,"May 25, 2025","Former contractor, more than 1 year","Safaricom really cares about her employees' well being and this is by have mental awareness, financial plan. They come with mentors and even specialists in different areas to talk to the employees.",How I wish they could intervene in the pay and working conditions for the customer care desk at the dealership shops
Junior software developer,5.0,"Jun 7, 2025",Former employee,Good work-life balance and supportive team environment with competitive benefits,Limited advancement opportunities and outdated technology systems need improvement.
Sr. manager it,5.0,"Jun 5, 2025",Former employee,"As an employer, offers significant advantages such as market leadership, competitive compensation, and ample growth opportunities due to its technological innovation and contributions to national development","High-pressure, competitive, and sometimes bureaucratic environment, which can impact work-life balance."
Software developer,2.0,"Jun 18, 2025","Current contractor, more than 3 years",I really don't have any pros for them. Hasn't been the best.,"no work life balance.
scalling is almost impossible as a contractor."
Ict technician,4.0,"Jun 20, 2025","Current employee, less than 1 year",you Offer the best services,there are No cons about your performance
Intern,5.0,"Jun 5, 2025","Former intern, less than 1 year",They try to help interns and the managers are really great and always helpful.,It requires to put a lot effort and sometimes you work in weekends
Internship,5.0,"Jun 16, 2025",Former intern,Learning and skill building on enterprise level setup,None that I noticed. Good working place.
Senior software engineer,5.0,"Jun 11, 2025",Current contractor,to be updated at a later time,none i can think of right now
Territory development representative (tdr),4.0,"Jun 28, 2025","Current employee, more than 1 year","Salaries paid on time
Familiar route plan","Working via agency
No room for growth"
Telesales agent,5.0,"Jun 26, 2025",Former employee,Good work environment and aesthetics,Corporate work pressure and politics
Customer service representative,4.0,"May 25, 2025","Former contractor, more than 1 year","Safaricom really cares about her employees' well being and this is by have mental awareness, financial plan. They come with mentors and even specialists in different areas to talk to the employees.",How I wish they could intervene in the pay and working conditions for the customer care desk at the dealership shops
Junior software developer,5.0,"Jun 7, 2025",Former employee,Good work-life balance and supportive team environment with competitive benefits,Limited advancement opportunities and outdated technology systems need improvement.
Sr. manager it,5.0,"Jun 5, 2025",Former employee,"As an employer, offers significant advantages such as market leadership, competitive compensation, and ample growth opportunities due to its technological innovation and contributions to national development","High-pressure, competitive, and sometimes bureaucratic environment, which can impact work-life balance."
Software developer,2.0,"Jun 18, 2025","Current contractor, more than 3 years",I really don't have any pros for them. Hasn't been the best.,"no work life balance.
scalling is almost impossible as a contractor."
Ict technician,4.0,"Jun 20, 2025","Current employee, less than 1 year",you Offer the best services,there are No cons about your performance
Intern,5.0,"Jun 5, 2025","Former intern, less than 1 year",They try to help interns and the managers are really great and always helpful.,It requires to put a lot effort and sometimes you work in weekends
Internship,5.0,"Jun 16, 2025",Former intern,Learning and skill building on enterprise level setup,None that I noticed. Good working place.
Senior software engineer,5.0,"Jun 11, 2025",Current contractor,to be updated at a later time,none i can think of right now
