Anonymous employee,3.0,"Jan 11, 2015",Current employee,"Flexible work schedule, ability to work remotely, good benefits, good people",Most employees go 3-5 years without a salary increase.  It can be difficult to be successful due to all the levels of approval needed to move forward on a project. Time to complete expectations are frequently unrealistic for the task to be completed.  Be prepared to constantly be pushing a boulder up a hill.
Senior software engineer,3.0,"Mar 8, 2015",Current employee,"-Bangalore campus is really nice. One of the best I ever seen in my long career
- Excellent work life balance(It may depend on team also)
- Working from option and no micro management(Only expectation is to finish the work)","- Once you join don't expect good hike.
- Last 3-4 years cisco has been doing lot of restructuring and so lot of firing happening. So less job security now a days. 
- Not much effort to retention of talent."
Senior product manager,4.0,"Oct 30, 2015","Current employee, more than 3 years","Cisco has very competitive pay and a strong brand. I have (mostly) high-quality co-workers. Senior management (on my team anyway) does not micro-manage, employees are empowered.",Cisco is a very large company and you can sometimes feel lost in the fray. Communication and cooperation between different business units could certainly be better.
Technical leader i,3.0,"Jan 15, 2016","Current employee, more than 5 years","Good environment for work
Healthy knowledge driven ecosystem
Decent non-cash employee benefits
Well managed facilities
Job rotation encouraged","Sub par pay compared to peer firms
Excessive cliques and internecine politics
Some projects/managers/BUs demand insane work hours, upsetting work-life balance
Overselling company benefits to employees causes disgruntlement"
Anonymous employee,3.0,"Jan 26, 2016","Current employee, more than 5 years","Overall - Best technologies in the ICT market.
Too many technologies to learn from.
Flexible work schedule.
Possibility of sales commissions multiplier.
Company representation.
Travel.","Some technologies can be easily challenged by its closest competitor.
No retirement benefits.
Meritocracy is subjective.
Tendency to be drained-out easily.
Tendency of people managers competence issues.
Tendency to be have low trust environment, depending whom you are working with at that moment.
Business offerings are highly dependent on Cisco Local Partners.
Medical/Dental Benefits are not top of the line compare to other similar multinational company offerings.
No car plan."
Senior systems engineer,5.0,"Jun 2, 2016","Former employee, more than 1 year",Great place to work.  Lots of perks and supper from mgnt. Slower pace than smaller companies but that's expected.  Would definitely work there again.,Slow pace and could use more perks.  Projects takes longer due to involvement of other teams and red takes.  Sharing workspace and desks doesn't work.  Employees end up in other buildings.
Software engineer,4.0,"Jul 17, 2016","Current employee, more than 5 years","Some of the brightest engineers in the industry
Office culture and traditions (in most cases)
Handsome benefits (other than salary)
Access to some pretty cool hardware/software, labs, expertise (CCNA anyone?)
Work-life balance (in most cases)
It's Cisco!","Below average salary with no COL adjustments
Lack of innovation from within the company
Heavy process and too many barriers
Internal politics/favoritism"
Anonymous employee,3.0,"Aug 30, 2016",Former employee,"Great talented people, lots of creative marketing, good flexiblility","too many layoffs and promos of ""favorites"""
Anonymous employee,5.0,"Sep 23, 2016",Current employee,"Stellar work life balance, good benefits, compensation is very competitive (can be great if you're a top performer). Potential to take a on a lot of responsibility even at lower grades. Work can be satisfying and rewarding if you look for good teams. Great talent in the better teams.",Promotions are a way harder to come by if you are in a rockstar team.
Anonymous employee,2.0,"Oct 8, 2016",Current employee,"Technology
Most of the people 
Flexible working environment
Office Location","An outdated Sales culture 
Lack of diversity
Disparity between image of culture vs reality.
Lack of forward thinking and growth 
Less than positive view of contractors and support staff
Disorganized internal processes not supporting growth 
Ignoring bad behaviors"
Anonymous employee,4.0,"Oct 20, 2016",Current employee,"In Cisco, there are opportunities to explore multiple platforms and profiles.","There is little to no chance of getting hike or promotion with internal move, though you are due for a promotion. Reason being, when someone moves to a new role, one would not start performing from day-1."
Inside sales,1.0,"Nov 8, 2016",Former employee,"Market leader, branding, office facility","Micro management and culture of fear
Many people left after in 6 months, 1 or 2 years max of service
Fear, uncertainty and doubt
Call center mindset
Management is absolutely awful. A kind of toxic environment. Probably 5 years ago it was a good place to work. But these days you should skip it - or at least know what you are walking into. Fear and intimidation are the only tactics left. Random acts of management in a totalitarian style combined with ignorance and carelessness may be bordering on psychological torture with some sense of virtue
At least 30% turnover
Big culture gap with the other Cisco team
Low salary for the industry (+/- £50K OTE)"
Senior manager,2.0,"Dec 21, 2016","Current employee, more than 3 years","Benefits are good. Some good people. Like CEO but two levels down, not so much. Strong engineering skills. Comp is competitive in some cases.","Outdated and inefficient internal processes. Very political, and near impossible to promote to Director level. Can be very difficult to maintain work/life balance. Lack ability to execute strategy. Slow decision making."
Sales director,4.0,"Jun 10, 2017","Former employee, more than 8 years",Really enjoyed working in security sales at Cisco. Positive but intense work environment. Teams that want to do right by the customer.,"The security sales leadership turns over every 12-18 months. This creates direction instability that shows itself at every level of the organization. When the leadership is good, it's good. Every other turn they promote someone from a new acquisition (IronPort, Sourcefire) and it's a friggin mess."
Business development manager,4.0,"Jun 21, 2017","Current employee, more than 5 years","- Well-intentioned management team with a strong morale compass
- Many good co-workers that try to do what's right
- Good products","- It's a large company with many large company problems such as bureaucracy
- In order to get ahead, you have to play the game, which means paying attention to politics, marketing yourself, not rocking the boat, etc.
- Very hard to get things done as everyone has an opinion
- Occasionally run into a few prima donnas"
Csa,5.0,"Jul 4, 2017","Current employee, less than 1 year","Very flexible. 4 hour SLA, considered a remote/field employee, company card (monthly/yearly budget), great career enhancing role with a lot of opportunity to move up and make more $$$.",Been in the role for 8 months and only thing I can think of is that being in the office 8hrs a day isn't needed but understand why they'd like you to be.
Manager gvs/cs,5.0,"Oct 2, 2017","Current employee, more than 10 years","Cisco give you the opportunity to really do your job at the best, offering you tools, resources and being surrounded by people that share with you the same values and that are willing to help you. Your career it's really up to you and it's up to you how to best create your career plan. Cisco culture it's about inclusion and diversity and the 'Giving Back' it also an important value.",Cisco gives to all employee a lot and on the same time asks a lot. It's up to the employees find the right work balance.
